File,Movie,Question,Average Negative,Average Neutral,Average Positive
aireviews_chatgpt.csv,The Shawshank Redemption,question1,0.9348545,0.058439516,0.0067060376
aireviews_chatgpt.csv,The Shawshank Redemption,question2,0.0019757426,0.026416495,0.9716078
aireviews_chatgpt.csv,The Shawshank Redemption,question3,0.00267854,0.040633142,0.9566883
aireviews_chatgpt.csv,Brokeback Mountain,question1,0.95942515,0.034475323,0.0060995235
aireviews_chatgpt.csv,Brokeback Mountain,question2,0.010839316,0.09281429,0.8963464
aireviews_chatgpt.csv,Brokeback Mountain,question3,0.1255455,0.12437995,0.7500746
aireviews_chatgpt.csv,Avatar,question1,0.9401196,0.05157453,0.008305797
aireviews_chatgpt.csv,Avatar,question2,0.0013890609,0.018377814,0.9802331
aireviews_chatgpt.csv,Avatar,question3,0.0022333418,0.027602587,0.9701641
aireviews_chatgpt.csv,Titanic,question1,0.59726024,0.20994422,0.19279559
aireviews_chatgpt.csv,Titanic,question2,0.004938647,0.040695086,0.9543663
aireviews_chatgpt.csv,Titanic,question3,0.086263165,0.13860911,0.77512777
aireviews_chatgpt.csv,"Crouching Tiger, Hidden Dragon",question1,0.96445596,0.03148798,0.0040560095
aireviews_chatgpt.csv,"Crouching Tiger, Hidden Dragon",question2,0.0013886831,0.029831896,0.9687794
aireviews_chatgpt.csv,"Crouching Tiger, Hidden Dragon",question3,0.18281485,0.0498428,0.7673423
aireviews_chatgpt.csv,Nomadland,question1,0.9457906,0.046344537,0.007864874
aireviews_chatgpt.csv,Nomadland,question2,0.0016788666,0.03075011,0.9675711
aireviews_chatgpt.csv,Nomadland,question3,0.0023933514,0.055859696,0.9417469
aireviews_deepseek.csv,The Shawshank Redemption,question1,0.77198076,0.18554993,0.042469252
aireviews_deepseek.csv,The Shawshank Redemption,question2,0.015920807,0.14226277,0.8418164
aireviews_deepseek.csv,The Shawshank Redemption,question3,0.10823731,0.29533476,0.59642804
aireviews_deepseek.csv,Brokeback Mountain,question1,0.8394682,0.1309524,0.02957948
aireviews_deepseek.csv,Brokeback Mountain,question2,0.047165476,0.30308598,0.64974856
aireviews_deepseek.csv,Brokeback Mountain,question3,0.18869713,0.38639665,0.42490616
aireviews_deepseek.csv,Avatar,question1,0.65209895,0.2670317,0.08086941
aireviews_deepseek.csv,Avatar,question2,0.036931597,0.19871715,0.76435125
aireviews_deepseek.csv,Avatar,question3,0.17517772,0.36576957,0.4590528
aireviews_deepseek.csv,Titanic,question1,0.71145326,0.2256798,0.06286701
aireviews_deepseek.csv,Titanic,question2,0.09866647,0.29483205,0.60650146
aireviews_deepseek.csv,Titanic,question3,0.20785241,0.34790605,0.44424158
aireviews_deepseek.csv,"Crouching Tiger, Hidden Dragon",question1,0.68026906,0.25197348,0.06775748
aireviews_deepseek.csv,"Crouching Tiger, Hidden Dragon",question2,0.018208478,0.20197162,0.7798199
aireviews_deepseek.csv,"Crouching Tiger, Hidden Dragon",question3,0.13712592,0.3752015,0.48767257
aireviews_deepseek.csv,Nomadland,question1,0.5804821,0.29512805,0.12438984
aireviews_deepseek.csv,Nomadland,question2,0.032377925,0.2498982,0.71772385
aireviews_deepseek.csv,Nomadland,question3,0.23324955,0.41792542,0.34882504
aireviews_gemini.csv,The Shawshank Redemption,question1,0.6610516,0.22982106,0.109127305
aireviews_gemini.csv,The Shawshank Redemption,question2,0.22378436,0.3043602,0.47185546
