Movie,Question,Trigram,Count
The Shawshank Redemption,question1,movie shawshank redemption,1
The Shawshank Redemption,question1,shawshank redemption riveting,1
The Shawshank Redemption,question1,redemption riveting tale,1
The Shawshank Redemption,question2,overall shawshank redemption,3
The Shawshank Redemption,question2,themes hope redemption,2
The Shawshank Redemption,question2,long credits roll,2
The Shawshank Redemption,question3,themes hope redemption,3
The Shawshank Redemption,question3,shawshank redemption film,2
The Shawshank Redemption,question3,overall shawshank redemption,2
Brokeback Mountain,question1,movie mess dialogue,2
Brokeback Mountain,question1,mess dialogue confusing,2
Brokeback Mountain,question1,characters unlikable acting,2
Brokeback Mountain,question2,cinematography beautifully captures,3
Brokeback Mountain,question2,movie powerful emotional,2
Brokeback Mountain,question2,powerful emotional journey,2
Brokeback Mountain,question3,slow times scenes,2
Brokeback Mountain,question3,film stay long,2
Brokeback Mountain,question3,stay long credits,2
Avatar,question1,mess start finish,2
Avatar,question1,acting subpar best,2
Avatar,question1,best special effects,2
Avatar,question2,action scenes intense,2
Avatar,question2,keeping edge seat,2
Avatar,question2,keep entertained engaged,2
Avatar,question3,overall avatar visually,2
Avatar,question3,avatar visually stunning,2
Avatar,question3,would highly recommend,2
Titanic,question1,special effects also,2
Titanic,question1,effects also subpar,2
Titanic,question1,titanic meters see,2
Titanic,question2,went live long,1
Titanic,question2,live long fulfilling,1
Titanic,question2,long fulfilling life,1
Titanic,question3,calvert thank sharing,1
Titanic,question3,thank sharing subtitle,1
Titanic,question3,sharing subtitle text,1
"Crouching Tiger, Hidden Dragon",question1,would recommend wasting,2
"Crouching Tiger, Hidden Dragon",question1,recommend wasting time,2
"Crouching Tiger, Hidden Dragon",question1,plot place action,2
"Crouching Tiger, Hidden Dragon",question2,master li master,2
"Crouching Tiger, Hidden Dragon",question2,li master li,2
"Crouching Tiger, Hidden Dragon",question2,master li movie,2
"Crouching Tiger, Hidden Dragon",question3,performances strong particularly,2
"Crouching Tiger, Hidden Dragon",question3,keeping audience engaged,2
"Crouching Tiger, Hidden Dragon",question3,audience engaged throughout,2
Nomadland,question1,making hard connect,2
Nomadland,question1,hard connect dialogue,2
Nomadland,question1,connect dialogue felt,2
Nomadland,question2,poignant exploration life,2
Nomadland,question2,film soundtrack complements,2
Nomadland,question2,perfectly enhancing emotional,2
Nomadland,question3,exploring themes loss,2
Nomadland,question3,themes loss grief,2
Nomadland,question3,cinematography captures beauty,2
