Movie,Question,Trigrams
The Shawshank Redemption,question1,"['movie shawshank redemption', 'overall shawshank redemption', 'andy dufresne portrayed']"
The Shawshank Redemption,question2,"['resilience human spirit', 'shawshank redemption timeless', 'redemption timeless classic']"
The Shawshank Redemption,question3,"['overall shawshank redemption', 'hope friendship resilience', 'movie shawshank redemption']"
Brokeback Mountain,question1,"['skip one total', 'one total waste', 'total waste time']"
Brokeback Mountain,question2,"['performances heath ledger', 'heath ledger jake', 'ledger jake gyllenhaal']"
Brokeback Mountain,question3,"['longing performances heath', 'performances heath ledger', 'heath ledger jake']"
Avatar,question1,"['avatar visually stunning', 'visually stunning movie', 'acting subpar overall']"
Avatar,question2,"['avatar visually stunning', 'special effects world', 'effects world pandora']"
Avatar,question3,"['visually stunning movie', 'avatar visually stunning', 'characters action sequences']"
Titanic,question1,"['film fails justice', 'characters poorly developed', 'overall titanic meters']"
Titanic,question2,"['director james cameron', 'leonardo dicaprio kate', 'dicaprio kate winslet']"
Titanic,question3,"['leonardo dicaprio kate', 'dicaprio kate winslet', 'chemistry two leads']"
"Crouching Tiger, Hidden Dragon",question1,"['crouching tiger hidden', 'tiger hidden dragon', 'hidden dragon complete']"
"Crouching Tiger, Hidden Dragon",question2,"['crouching tiger hidden', 'tiger hidden dragon', 'li mu bai']"
"Crouching Tiger, Hidden Dragon",question3,"['crouching tiger hidden', 'tiger hidden dragon', 'hidden dragon visually']"
Nomadland,question1,"['hard stay engaged', 'uninteresting film fails', 'nomadland uneventful movie']"
Nomadland,question2,"['film captures essence', 'captures essence nomadic', 'essence nomadic lifestyle']"
Nomadland,question3,"['poignant introspective film', 'film explores themes', 'themes grief loss']"
