Movie,Question,Trigram,Count
Avatar,question1,even get started,4
Avatar,question1,blue cat people,3
Avatar,question1,message saving planet,2
Avatar,question2,blue cat people,2
Avatar,question2,pocahontas meets dances,2
Avatar,question2,meets dances wolves,2
Avatar,question3,blue cat people,3
Avatar,question3,even get started,2
Avatar,question3,two half stars,2
Brokeback Mountain,question1,even get started,4
Brokeback Mountain,question1,ledger bless soul,3
Brokeback Mountain,question1,okay buckle buttercups,2
Brokeback Mountain,question2,finally got around,2
Brokeback Mountain,question2,jake gyllenhaal jack,2
Brokeback Mountain,question2,movie love story,2
Brokeback Mountain,question3,seemed like could,2
Brokeback Mountain,question3,overall brokeback mountain,2
Brokeback Mountain,question3,seeing brokeback mountain,2
"Crouching Tiger, Hidden Dragon",question1,crouching tiger hidden,10
"Crouching Tiger, Hidden Dragon",question1,tiger hidden dragon,10
"Crouching Tiger, Hidden Dragon",question1,li mu bai,8
"Crouching Tiger, Hidden Dragon",question2,crouching tiger hidden,9
"Crouching Tiger, Hidden Dragon",question2,tiger hidden dragon,9
"Crouching Tiger, Hidden Dragon",question2,yu shu lien,6
"Crouching Tiger, Hidden Dragon",question3,crouching tiger hidden,10
"Crouching Tiger, Hidden Dragon",question3,tiger hidden dragon,9
"Crouching Tiger, Hidden Dragon",question3,li mu bai,9
Nomadland,question1,even get started,3
Nomadland,question1,alright alright settle,2
Nomadland,question1,good character study,2
Nomadland,question2,long credits roll,3
Nomadland,question2,deeply moving film,2
Nomadland,question2,alright settle darlings,2
Nomadland,question3,linda may swankie,3
Nomadland,question3,like carefully curated,2
Nomadland,question3,could help feel,2
The Shawshank Redemption,question1,alright alright settle,3
The Shawshank Redemption,question1,subjected shawshank redemption,2
The Shawshank Redemption,question1,felt less like,2
The Shawshank Redemption,question2,morgan freeman red,3
The Shawshank Redemption,question2,first tim robbins,2
The Shawshank Redemption,question2,resilience andy dufresne,2
The Shawshank Redemption,question3,morgan freeman red,3
The Shawshank Redemption,question3,shawshank redemption know,2
The Shawshank Redemption,question3,redemption know know,2
Titanic,question1,even get started,3
Titanic,question1,well let say,2
Titanic,question1,need stiff drink,2
Titanic,question2,titanic cinematic experience,2
Titanic,question2,alright settle darlings,2
Titanic,question2,three hours fifteen,2
Titanic,question3,kate winslet rose,2
Titanic,question3,never get back,2
Titanic,question3,stars excuse need,2
