Movie,Question,Trigram,Count
The Shawshank Redemption,question1,shawshank redemption like,4
The Shawshank Redemption,question1,sentence worse life,2
The Shawshank Redemption,question1,redemption like shawshank,2
The Shawshank Redemption,question2,banker wrongly convicted,3
The Shawshank Redemption,question2,successful banker wrongly,2
The Shawshank Redemption,question2,wrongly convicted murdering,2
The Shawshank Redemption,question3,overall shawshank redemption,4
The Shawshank Redemption,question3,morgan freeman red,3
The Shawshank Redemption,question3,banker wrongly convicted,2
Brokeback Mountain,question1,brokeback mountain like,3
Brokeback Mountain,question1,ultimately brokeback mountain,2
Brokeback Mountain,question1,watching paint dry,2
Brokeback Mountain,question2,long credits roll,4
Brokeback Mountain,question2,review brokeback mountain,2
Brokeback Mountain,question2,gay cowboy movie,2
Brokeback Mountain,question3,ennis del mar,2
Brokeback Mountain,question3,del mar jack,2
Brokeback Mountain,question3,mar jack twist,2
Avatar,question1,blue cat people,3
Avatar,question1,even get started,3
Avatar,question1,characters cardboard cutouts,2
Avatar,question2,visually stunning emotionally,3
Avatar,question2,sheer artistry technological,2
Avatar,question2,artistry technological innovation,2
Avatar,question3,goes native falls,3
Avatar,question3,native falls love,3
Avatar,question3,alright buckle buttercups,2
Titanic,question1,even get started,3
Titanic,question1,sat titanic let,2
Titanic,question1,titanic let tell,2
Titanic,question2,titanic subtitled dialogue,2
Titanic,question2,subtitled dialogue snippet,2
Titanic,question2,dialogue snippet provided,2
Titanic,question3,blah blah blah,3
Titanic,question3,historical weight event,2
Titanic,question3,weight event film,2
"Crouching Tiger, Hidden Dragon",question1,crouching tiger hidden,11
"Crouching Tiger, Hidden Dragon",question1,tiger hidden dragon,10
"Crouching Tiger, Hidden Dragon",question1,hidden dragon like,3
"Crouching Tiger, Hidden Dragon",question2,crouching tiger hidden,13
"Crouching Tiger, Hidden Dragon",question2,tiger hidden dragon,13
"Crouching Tiger, Hidden Dragon",question2,li mu bai,7
"Crouching Tiger, Hidden Dragon",question3,crouching tiger hidden,13
"Crouching Tiger, Hidden Dragon",question3,tiger hidden dragon,13
"Crouching Tiger, Hidden Dragon",question3,hidden dragon visually,4
Nomadland,question1,losing everything recession,2
Nomadland,question1,fern frances mcdormand,2
Nomadland,question1,documentary sad people,2
Nomadland,question2,fern woman loses,3
Nomadland,question2,woman loses everything,3
Nomadland,question2,vast landscapes american,3
Nomadland,question3,resilience community search,2
Nomadland,question3,community search meaning,2
Nomadland,question3,gist woman fern,2
