Movie,Question,Trigrams
The Shawshank Redemption,question1,"['even get started', 'bad review care', 'let start saying']"
The Shawshank Redemption,question2,"['review shawshank redemption', 'resilience human spirit', 'follows andy dufresne']"
The Shawshank Redemption,question3,"['shawshank redemption film', 'review shawshank redemption', 'resilience human spirit']"
Brokeback Mountain,question1,"['even get started', 'two cowboys ennis', 'cowboys ennis jack']"
Brokeback Mountain,question2,"['ennis del mar', 'review brokeback mountain', 'long credits roll']"
Brokeback Mountain,question3,"['brokeback mountain film', 'herding sheep brokeback', 'sheep brokeback mountain']"
Avatar,question1,"['even get started', 'dances wolves space', 'let start saying']"
Avatar,question2,"['movie review avatar', 'avatar cinematic masterpiece', 'lush alien world']"
Avatar,question3,"['avatar visually stunning', 'na vi culture', 'jake sully sam']"
Titanic,question1,"['even get started', 'movie review titanic', 'three hours long']"
Titanic,question2,"['movie review titanic', 'film subtitle text', 'chemistry electric love']"
Titanic,question3,"['movie review titanic', 'jack leonardo dicaprio', 'leonardo dicaprio rose']"
"Crouching Tiger, Hidden Dragon",question1,"['crouching tiger hidden', 'tiger hidden dragon', 'li mu bai']"
"Crouching Tiger, Hidden Dragon",question2,"['li mu bai', 'crouching tiger hidden', 'tiger hidden dragon']"
"Crouching Tiger, Hidden Dragon",question3,"['crouching tiger hidden', 'tiger hidden dragon', 'li mu bai']"
Nomadland,question1,"['movie review nomadland', 'review nomadland rating', 'nomadland rating nomadland']"
Nomadland,question2,"['long credits roll', 'nomadland directed chloé', 'directed chloé zhao']"
Nomadland,question3,"['resilience search meaning', 'nomadland directed chloé', 'directed chloé zhao']"
